timestamp,tagID,pos_x,pos_y,pos_z,quality,n_dist,anchorID_1,dist_1,anchorID_2,dist_2,anchorID_3,dist_3,anchorID_4,dist_4,anchorID_5,dist_5,accelerometro,ax,ay,az,giroscopio,gx,gy,gz,magnetometro,mx,my,mz
21:27.5,bleT2,-,-,-,0,3,bleA6,-78,bleA4,-66,bleA3,-58,A,238.754,-1108.919,62.403,G,-48930,14350,-20230,M,-714,73.5,-243,,,,
21:27.6,bleT2,-,-,-,0,3,bleA2,-58,bleA4,-85,bleA5,-71,A,120.719,-876.57,203.801,G,16940,26810,-7420,M,-703.5,70.5,-249,,,,
21:27.7,bleT2,-,-,-,0,5,bleA2,-59,bleA4,-73,bleA3,-72,bleA5,-61,bleA6,-75,A,70.76,-913.475,212.646,G,10920,21280,8120,M,-703.5,70.5,-252
21:27.8,bleT2,-,-,-,0,4,bleA2,-57,bleA4,-67,bleA5,-66,bleA6,-79,A,139.08,-909.754,365.39,G,4620,23940,4270,M,-705,67.5,-243,,
21:27.9,bleT2,-,-,-,0,4,bleA6,-70,bleA4,-66,bleA2,-48,bleA3,-66,A,68.503,-971.73,187.331,G,22960,-7420,6230,M,-706.5,51,-237,,
21:28.0,bleT2,-,-,-,0,5,bleA6,-67,bleA2,-53,bleA4,-68,bleA3,-66,bleA5,-64,A,133.285,-952.454,251.137,G,-140,-10640,980,M,-706.5,54,-252
21:28.1,bleT2,-,-,-,0,5,bleA5,-70,bleA2,-56,bleA4,-69,bleA3,-66,bleA6,-73,A,115.473,-1019.127,73.688,G,5040,-13160,1190,M,-706.5,51,-238.5
21:28.2,bleT2,-,-,-,0,4,bleA4,-70,bleA5,-69,bleA6,-67,bleA2,-56,A,-67.039,-1059.143,285.114,G,910,-30170,15680,M,-688.5,51,-282,,
21:28.4,bleT2,-,-,-,0,4,bleA2,-58,bleA3,-60,bleA5,-85,bleA6,-72,A,98.027,-873.642,164.578,G,59780,-17920,1540,M,-688.5,55.5,-282,,
21:28.5,bleT2,-,-,-,0,4,bleA6,-76,bleA2,-66,bleA4,-65,bleA5,-66,A,-4.453,-1019.859,-57.95,G,-9240,-25200,-11970,M,-694.5,60,-312,,
21:28.6,bleT2,-,-,-,0,3,bleA4,-66,bleA3,-63,bleA6,-72,A,-20.435,-1024.739,220.942,G,-23660,-11060,10010,M,-699,57,-306,,,,
