timestamp,tagID,pos_x,pos_y,pos_z,quality,n_dist,anchorID_1,dist_1,anchorID_2,dist_2,anchorID_3,dist_3,anchorID_4,dist_4,anchorID_5,dist_5,accelerometro,ax,ay,az,giroscopio,gx,gy,gz,magnetometro,mx,my,mz
25:13.7,bleT2,-,-,-,0,5,bleA4,-61,bleA5,-77,bleA6,-73,bleA3,-54,bleA2,-61,A,883.768,-93.025,-392.474,G,350,-3150,-140,M,-267,573,-105,
25:13.8,bleT2,-,-,-,0,5,bleA4,-67,bleA5,-58,bleA6,-63,bleA3,-59,bleA2,-59,A,884.927,-96.807,-398.269,G,770,-1540,-1400,M,-240,570,-100.5,
25:13.9,bleT2,-,-,-,0,5,bleA3,-54,bleA6,-71,bleA4,-60,bleA5,-74,bleA2,-62,A,879.864,-89.304,-401.807,G,420,-7280,-2240,M,-255,577.5,-91.5,
25:14.0,bleT2,-,-,-,0,5,bleA2,-56,bleA5,-60,bleA4,-66,bleA6,-65,bleA3,-61,A,874.191,-82.167,-413.946,G,-140,-6580,-5250,M,-258,580.5,-85.5,
25:14.1,bleT2,-,-,-,0,4,bleA3,-51,bleA2,-60,bleA4,-63,bleA5,-66,,,A,866.505,-75.823,-413.885,G,210,-14840,-10990,M,-258,564,-96,
25:14.2,bleT2,-,-,-,0,4,bleA4,-64,bleA5,-65,bleA6,-68,bleA3,-53,,,A,840.092,-45.262,-442.494,G,1470,-15260,-13160,M,-243,574.5,-79.5,
25:14.3,bleT2,-,-,-,0,5,bleA4,-62,bleA6,-67,bleA3,-49,bleA2,-59,bleA5,-63,A,844.728,-78.812,-456.646,G,4130,-14840,-12250,M,-225,570,-58.5,
25:14.4,bleT2,-,-,-,0,5,bleA5,-70,bleA3,-51,bleA2,-55,bleA4,-62,bleA6,-68,A,972.889,-160.674,-599.813,G,490,-42420,-7280,M,-225,571.5,-48,
25:14.5,bleT2,-,-,-,0,5,bleA4,-60,bleA5,-65,bleA6,-70,bleA3,-49,bleA2,-56,A,844.972,-66.734,-491.355,G,-420,5320,-10290,M,-214.5,556.5,-54,
25:14.6,bleT2,-,-,-,0,5,bleA5,-65,bleA3,-55,bleA2,-59,bleA4,-65,bleA6,-64,A,825.513,-155.55,-484.889,G,7350,-980,4130,M,-211.5,564,-54,
25:14.7,bleT2,-,-,-,0,5,bleA3,-49,bleA4,-62,bleA5,-61,bleA6,-73,bleA2,-60,A,848.571,-124.501,-465.003,G,-1260,6720,-210,M,-216,564,-55.5,
25:14.8,bleT2,-,-,-,0,5,bleA5,-67,bleA3,-55,bleA2,-57,bleA4,-65,bleA6,-64,A,909.571,-144.265,-422.242,G,2380,9310,3430,M,-210,555,-58.5,
25:14.9,bleT2,-,-,-,0,3,bleA4,-66,bleA6,-70,bleA3,-50,,,,,A,992.897,-143.716,-396.744,G,-1540,26670,11060,M,-219,564,-81,
25:15.0,bleT2,-,-,-,0,3,bleA2,-52,bleA4,-71,bleA6,-69,,,,,A,898.835,-82.899,-509.96,G,-11200,10360,8540,M,-234,565.5,-73.5,
25:15.1,bleT2,-,-,-,0,5,bleA4,-65,bleA5,-65,bleA6,-72,bleA3,-53,bleA2,-56,A,838.018,18.239,-333.06,G,-12810,29750,24570,M,-253.5,558,-93,
25:15.2,bleT2,-,-,-,0,5,bleA4,-75,bleA5,-65,bleA6,-73,bleA3,-56,bleA2,-52,A,838.14,33.489,-488.488,G,-7840,2660,7560,M,-268.5,574.5,-87,
